case_id,jurisdiction,doc_length_tokens,doc_length_sentences,avg_sentence_length,statute_ref_count,precedent_citation_count,citation_count,doctrine_term_count,remedy_term_count,procedure_term_count,jurisdiction_mention_count,statute_per_1k,precedent_per_1k,citation_density,doctrine_per_1k,remedy_per_1k,procedure_per_1k,jurisdiction_per_1k,conclusion_position,party_arg_density
65129,KR,2873,48,59.85,5,0,5,16,1,45,8,1.7403,0.0,1.7403,5.5691,0.3481,15.6631,2.7845,0.2328,0.0
34224,KR,931,22,42.32,1,0,1,26,13,6,0,1.0741,0.0,1.0741,27.927,13.9635,6.4447,0.0,0.6561,3.2223
110601,KR,1140,44,25.91,0,0,0,2,1,1,4,0.0,0.0,0.0,1.7544,0.8772,0.8772,3.5088,0.411,7.0175
91973,KR,794,24,33.08,0,0,0,11,2,2,0,0.0,0.0,0.0,13.8539,2.5189,2.5189,0.0,0.6132,5.0378
54514,KR,295,17,17.35,4,0,4,1,1,0,1,13.5593,0.0,13.5593,3.3898,3.3898,0.0,3.3898,-1.0,0.0
90255,KR,1178,29,40.62,1,0,1,7,4,0,0,0.8489,0.0,0.8489,5.9423,3.3956,0.0,0.0,0.8094,1.6978
76414,KR,548,19,28.84,0,0,0,24,16,6,1,0.0,0.0,0.0,43.7956,29.1971,10.9489,1.8248,0.783,0.0
1742237,US,5187,198,26.2,16,49,65,11,19,9,2,3.0846,9.4467,12.5313,2.1207,3.663,1.7351,0.3856,0.9873,0.0
2333112,US,5589,202,27.67,2,61,63,6,4,16,13,0.3578,10.9143,11.2721,1.0735,0.7157,2.8628,2.326,0.233,0.1789
2427282,US,9139,299,30.57,25,268,293,0,5,13,29,2.7355,29.3249,32.0604,0.0,0.5471,1.4225,3.1732,0.1307,0.9848
1083174,US,3825,193,19.82,3,6,9,0,1,3,0,0.7843,1.5686,2.3529,0.0,0.2614,0.7843,0.0,0.9902,1.0458
2201444,US,3163,265,11.94,0,6,6,6,1,4,2,0.0,1.8969,1.8969,1.8969,0.3162,1.2646,0.6323,0.4226,0.0
1575504,US,1619,54,29.98,2,26,28,0,0,5,8,1.2353,16.0593,17.2946,0.0,0.0,3.0883,4.9413,-1.0,0.6177
2698654,US,2503,104,24.07,0,14,14,2,0,8,9,0.0,5.5933,5.5933,0.799,0.0,3.1962,3.5957,0.9842,0.799
2645723,US,2800,118,23.73,0,8,8,0,3,13,14,0.0,2.8571,2.8571,0.0,1.0714,4.6429,5.0,0.0631,0.0
2698714,US,4850,205,23.66,0,19,19,0,4,31,3,0.0,3.9175,3.9175,0.0,0.8247,6.3918,0.6186,0.1892,1.0309
2179475,US,219,12,18.25,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,4.5662,9.1324,0.0,-1.0,0.0
1048066,US,4141,234,17.7,4,30,34,7,48,39,17,0.966,7.2446,8.2106,1.6904,11.5914,9.418,4.1053,0.5172,0.0
2119458,US,714,25,28.56,0,1,1,0,0,3,0,0.0,1.4006,1.4006,0.0,0.0,4.2017,0.0,-1.0,0.0
2699801,US,1587,71,22.35,0,6,6,1,10,8,2,0.0,3.7807,3.7807,0.6301,6.3012,5.041,1.2602,0.9706,1.8904
2474648,US,2675,112,23.88,2,36,38,0,8,9,4,0.7477,13.4579,14.2056,0.0,2.9907,3.3645,1.4953,0.0139,0.0
1087130,US,10416,311,33.49,0,19,19,4,2,14,2,0.0,1.8241,1.8241,0.384,0.192,1.3441,0.192,0.0285,0.0
2046473,US,6854,322,21.29,0,30,30,1,1,12,11,0.0,4.377,4.377,0.1459,0.1459,1.7508,1.6049,0.9948,0.1459
1685297,US,3267,158,20.68,0,31,31,0,1,30,4,0.0,9.4888,9.4888,0.0,0.3061,9.1827,1.2244,-1.0,0.0
2574272,US,8060,302,26.69,7,142,149,2,3,5,27,0.8685,17.6179,18.4864,0.2481,0.3722,0.6203,3.3499,0.105,0.4963
1438039,US,3966,133,29.82,0,12,12,0,1,17,0,0.0,3.0257,3.0257,0.0,0.2521,4.2864,0.0,0.9664,0.2521
1048291,US,2503,171,14.64,0,7,7,2,19,28,0,0.0,2.7966,2.7966,0.799,7.5909,11.1866,0.0,0.4034,0.0
2700567,US,4501,154,29.23,0,6,6,3,16,48,4,0.0,1.333,1.333,0.6665,3.5548,10.6643,0.8887,0.9955,0.0
1043513,US,2488,100,24.88,0,14,14,9,0,12,2,0.0,5.627,5.627,3.6174,0.0,4.8232,0.8039,0.9881,2.0096
2579657,US,5921,220,26.91,25,100,125,4,2,9,25,4.2223,16.889,21.1113,0.6756,0.3378,1.52,4.2223,0.047,0.6756
1045809,US,4534,204,22.23,0,23,23,0,2,33,10,0.0,5.0728,5.0728,0.0,0.4411,7.2783,2.2056,0.1436,0.0
1046267,US,2708,103,26.29,7,7,14,0,2,82,14,2.5849,2.5849,5.1699,0.0,0.7386,30.2806,5.1699,0.1477,0.0
1047196,US,5699,326,17.48,0,19,19,0,1,26,5,0.0,3.3339,3.3339,0.0,0.1755,4.5622,0.8773,0.9811,0.0
2580541,US,7684,367,20.94,7,53,60,0,16,49,21,0.911,6.8974,7.8084,0.0,2.0822,6.3769,2.733,0.0141,0.0
2580690,US,5995,253,23.7,0,11,11,0,4,10,9,0.0,1.8349,1.8349,0.0,0.6672,1.6681,1.5013,0.0079,0.0
2701564,US,3659,96,38.11,0,21,21,0,1,12,4,0.0,5.7393,5.7393,0.0,0.2733,3.2796,1.0932,0.0913,0.0
2242427,US,7289,331,22.02,0,182,182,3,0,14,3,0.0,24.9691,24.9691,0.4116,0.0,1.9207,0.4116,0.331,0.0
2636710,US,1772,77,23.01,0,2,2,0,0,10,1,0.0,1.1287,1.1287,0.0,0.0,5.6433,0.5643,0.9667,0.0
1252421,US,5292,203,26.07,0,14,14,12,0,29,1,0.0,2.6455,2.6455,2.2676,0.0,5.48,0.189,-1.0,0.0
1055639,US,2038,94,21.68,7,5,12,0,3,7,0,3.4347,2.4534,5.8881,0.0,1.472,3.4347,0.0,0.0736,0.0
2395894,US,5193,211,24.61,5,36,41,1,1,2,1,0.9628,6.9324,7.8952,0.1926,0.1926,0.3851,0.1926,0.0183,0.0
2640239,US,1604,50,32.08,0,2,2,0,16,9,4,0.0,1.2469,1.2469,0.0,9.9751,5.611,2.4938,-1.0,0.0
1046591,US,1583,81,19.54,4,5,9,0,1,21,0,2.5268,3.1586,5.6854,0.0,0.6317,13.266,0.0,0.3469,0.0
2516170,US,5725,224,25.56,8,3,11,0,22,10,7,1.3974,0.524,1.9214,0.0,3.8428,1.7467,1.2227,0.3769,0.0
1065224,US,3775,203,18.6,0,5,5,19,1,24,0,0.0,1.3245,1.3245,5.0331,0.2649,6.3576,0.0,0.046,0.5298
2156327,US,10841,418,25.94,4,63,67,46,2,24,24,0.369,5.8113,6.1802,4.2432,0.1845,2.2138,2.2138,0.0174,0.5535
1188713,US,1218,51,23.88,0,2,2,0,1,6,2,0.0,1.642,1.642,0.0,0.821,4.9261,1.642,0.5686,2.4631
2639942,US,1998,78,25.62,0,6,6,2,9,4,2,0.0,3.003,3.003,1.001,4.5045,2.002,1.001,0.501,5.005
2692166,US,2332,69,33.8,0,8,8,1,0,23,15,0.0,3.4305,3.4305,0.4288,0.0,9.8628,6.4322,0.8811,0.0
2622043,US,4017,173,23.22,0,10,10,0,2,23,4,0.0,2.4894,2.4894,0.0,0.4979,5.7257,0.9958,-1.0,0.0
2706710,US,7603,297,25.6,0,46,46,8,6,37,4,0.0,6.0502,6.0502,1.0522,0.7892,4.8665,0.5261,-1.0,0.0
2622468,US,2859,176,16.24,0,24,24,3,0,11,1,0.0,8.3945,8.3945,1.0493,0.0,3.8475,0.3498,-1.0,0.0
2622542,US,5498,163,33.73,0,22,22,13,103,14,0,0.0,4.0015,4.0015,2.3645,18.7341,2.5464,0.0,0.0473,0.0
2224076,US,1504,43,34.98,0,14,14,0,0,3,1,0.0,9.3085,9.3085,0.0,0.0,1.9947,0.6649,0.9067,0.6649
2651444,US,6054,228,26.55,0,24,24,0,1,15,5,0.0,3.9643,3.9643,0.0,0.1652,2.4777,0.8259,-1.0,0.0
2703952,US,3001,127,23.63,0,17,17,1,0,11,3,0.0,5.6648,5.6648,0.3332,0.0,3.6654,0.9997,0.8204,0.0
1657799,US,1786,96,18.6,0,10,10,10,0,5,0,0.0,5.5991,5.5991,5.5991,0.0,2.7996,0.0,0.2897,0.0
